Human Organ System,Major Organs,Lowest Structure,Lowest ID,Lowest Type,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,DHEA production@nan,,,,
female reproductive system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,DHEA production@nan,,,,
female reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,,luteinizing hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
female reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,,luteinizing hormone releasing hormone production@nan,,,,,
female reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,luteinizing hormone releasing hormone release@nan,,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,luteinizing hormone production@nan,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,luteinizing hormone release@nan,,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,prolactin release@anterior pituitary SECRETES prolactin,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,follicle stimulating hormone production@IF (sex = female): fsh STIMULATES granulosa cell,,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@granulosa cell SECRETES estradiol,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,luteal cel,CL:0000175,Unknown,,,,progesterone production@luteal cell SECRETES progesterone,,,,
female reproductive system,ovary,luteal cel,CL:0000175,Unknown,,,,progesterone production@nan,,,,
female reproductive system,ovary,luteal cel,CL:0000175,Unknown,,,,progesterone production@nan,,,,
female reproductive system,ovary,luteal cel,CL:0000175,Unknown,,,,progesterone production@nan,,,,
female reproductive system,ovary,luteal cel,CL:0000175,Unknown,,,,progesterone production@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,inhibin production@granulosa cell SECRETES inhibin,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,activin production@granulosa cell SECRETES activin ,,,,
female reproductive system,ovary,luteal cel,CL:0000175,Unknown,,,,androstenedione production@thecal cell SECRETES androstenedione,,,,
female reproductive system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,androstenedione production@zona reticularis SECRETES androstenedione,,,,
female reproductive system,adipose tissue,white adipocyte,CL:0000448,Unknown,,,,peripheral aromatization@nan,,,,
female reproductive system,skeletal muscle,skeletal muscle fiber,CL:0008002,Unknown,,,,peripheral aromatization@nan,,,,
female reproductive system,skin,fibroblast of dermis,CL:0002551,Unknown,,,,peripheral aromatization@nan,,,,
female reproductive system,placenta,placental villous trophoblast,CL:2000060,Unknown,,,human chorionic gonadotroph production@placenta SECRETES beta hcg,,,,,
female reproductive system,placenta,placental villous trophoblast,CL:2000060,Unknown,,,progesterone production@placenta SECRETES progesterone,,,,,
female reproductive system,placenta,placental villous trophoblast,CL:2000060,Unknown,,,estrogen production@placenta SECRETES estrogen,,,,,
female reproductive system,breast,mammary gland connective tissue,UBERON:0003584,Unknown,,,,,,,,
female reproductive system,adipose tissue,white adipose tissue,UBERON:0001347,Unknown,,,,leptin secretion@nan,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,Unknown,,,,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,,,folliculogenesis@nan,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,Unknown,,,,,folliculogenesis@ovarian follicle SECRETES estradiol,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,,ovulation@anterior pituitary SECRETES luteinizing hormone,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,Unknown,,,,ovulation@ovarian follicle RELEASES oocyte,,,,
female reproductive system,ovary,corpus luteum,UBERON:0002512,Unknown,,,,luteal phase@corpus luteum SECRETES progesterone,,,,
female reproductive system,placenta,placental villous trophoblast,CL:2000060,Unknown,,,,,formation of corpus luteum@placenta SECRETES beta hcg,,,
female reproductive system,ovary,corpus luteum,UBERON:0002512,Unknown,,,,,atresia of corpus luteum@nan,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,Unknown,,,,,menstruation@nan,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,Unknown,,,,,endometrial proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,Unknown,,,,,endometrial differentiation@nan,,,
female reproductive system,ovary,oocyte,CL:0000023,Unknown,,,,,oocyte maturation@nan,,,
female reproductive system,ovary,theca cell,CL:0000503,Unknown,,,,,theca cell proliferation@nan,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,,granulosa cell proliferation@nan,,,
female reproductive system,ovary,tertiary ovarian follicle,UBERON:0000037,Unknown,,,,,fluid formation@nan,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,Unknown,innervation@sacral plexus INNERVATES clitoris,,,,,,,
female reproductive system,clitoris,corpus cavernosum clitoridis,UBERON:0006608,Unknown,,innervation@cavernous nerve of clitoris INNERVATES corpus cavernosum,,,,,,
female reproductive system,cavernosal artery,dorsal artery of clitoris,UBERON:0008323,Unknown,,innervation@cavernosal artery SUPPLIES corpus cavernosum,,,,,,
female reproductive system,cavernosal vein,deep dorsal vein of clitoris,UBERON:0006690,Unknown,,innervation@cavernosal vein DRAINS corpus cavernosum,,,,,,
female reproductive system,bartholin's gland,major vestibular gland,UBERON:0000460,Unknown,,lubrication@bartholin gland SECRETES fluid,,,,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,Unknown,innervation@sacral plexus INNERVATES bartholin gland,,,,,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,Unknown,reflex afferent@sacral spinal nerve SENSES clitoris,,,,,,,
female reproductive system,skeletal muscle,UBERON:0002379,,Unknown,,reflex efferent@motor pudendal nerve INNERVATES perineal muscle,,,,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,Unknown,,cervical dilation@nan,,,,,,
female reproductive system,uterus,uterus,UBERON: 0000995,Unknown,,uterine contraction@oxytocin INCREASES uterine contraction,,,,,,
female reproductive system,pituitary,neurohypophysis,UBERON:0002198,Unknown,,oxytocin release@nan,,,,,,
female reproductive system,pituitary,neurohypophysis,UBERON:0002198,Unknown,,degeneration of primary follicles@nan,,,,,,
female reproductive system,pituitary,adenohypophysis,UBERON:0002196,Unknown,,menopause@estradiol DECREASES [anterior pituitary hormone] secretion,,,,,,
female reproductive system,fallopian tube,fimbriae of fallopian tube,UBERON:8410010,Unknown,,,ovulation@ovarian fimbriae TRANSPORT oocyte FROM ovary TO fallopian tube,,,,,
female reproductive system,fallopian tube,oviduct epithelium,UBERON:0004804,Unknown,,,ovulation@ovarian fimbriae TRANSPORT oocyte FROM ovary TO fallopian tube,,,,,
female reproductive system,fallopian tube,ampulla of fallopian tube,UBERON:0012648,Unknown,,,fertilization@nan,,,,,
female reproductive system,fallopian tube,ampulla of fallopian tube,UBERON:0012648,Unknown,,,morulation@nan,,,,,
female reproductive system,blastocyst,morula,UBERON:0000085,Unknown,,,implantation@nan,,,,,
female reproductive system,endometrium,stromal cell of endometrium,CL:0002255,Unknown,,,,,decidualization@nan,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,Unknown,,,,,endometrial secretions@endometrium SECRETES progesterone AND estrogen,,,
female reproductive system,trophoblast,trophoblast,UBERON:0000088,Unknown,,,,,beta hcg secretion@trophoblast SECRETES beta hcg,,,
female reproductive system,placenta,placental villous trophoblast,CL:2000060,Unknown,,,,,formation of syncytiotrophoblast@nan,,,
female reproductive system,placenta,chorionic trophoblast cell,CL:0011101,Unknown,,,,,formation of cytotrophoblast@nan,,,
female reproductive system,placenta,erythrocyte,CL:0000232,Unknown,,,,,invasion@nan,,,
female reproductive system,blood,blood plasma,UBERON:0001969,Unknown,,,,,,,,
female reproductive system,heart,heart left ventricle,UBERON:0002084,Unknown,,,,,,,,
female reproductive system,lung,alveolus of lung,UBERON:0002299,Unknown,,,,,,,,
female reproductive system,uterus,myometrium,UBERON:0001296,Unknown,,,,,,,,
female reproductive system,uterus,myometrium,UBERON:0001296,Unknown,,,,,activation stage@nan,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,Unknown,,,,,activation stage@nan,,,
female reproductive system,uterus,myometrium,UBERON:0001296,Unknown,,,,uterine contraction@oxytocin INCREASES uterine contraction,,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,Unknown,,,,cervical dilation@uterine contraction INCREASES cervical dilation,,,,
female reproductive system,placenta,uterine spiral artery,UBERON:0015171,Unknown,,,vasoconstriction@uterine contraction INCREASES spiral artery vasoconstriction,,,,,
female reproductive system,placenta,vagina,UBERON:0000996,Unknown,,,placenta delivery@uterine contraction TRANSPORTS placenta FROM uterus TO vagina,,,,,
female reproductive system,breast,lactocyte,CL:0002325,Unknown,,,milk production@prolactin INCREASES milk production,,,,,
female reproductive system,breast,nipple,UBERON:0002030,Unknown,,,prolactin secretion@nipple stimulation INCREASES prolactin secretion,,,,,
female reproductive system,hypothalamus,median eminence of neurohypophysis,UBERON:0002197,Unknown,,spinal cord reflex@nipple stimulation DECREASES dopaminergic hypothalamic signaling,,,,,,
female reproductive system,breast,mammary gland,UBERON:0001911,Unknown,,,milk letdown@oxytocin INCREASES milk letdown,,,,,
female reproductive system,pituitary,parvocellular neurosecretory cell,CL:1001505,Unknown,,reflex@nan,,,,,,
female reproductive system,breast,mammary gland smooth muscle,UBERON:0004235,Unknown,,mammary duct contraction@oxytocin INCREASES smooth muscle contraction,,,,,,
female reproductive system,breast,nipple,UBERON:0002030,Unknown,,,ovarian cycle inhibition@nursing DECREASES gnrh secretion,,,,,
